model,specification,fold,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
Naive lag-1,Baseline,1,0.31754497335148835,0.4005015208216082,32.332924643259894,-1.609172801853008,0.04382287330629286,0.2633422778771617
Naive lag-1,Baseline,2,0.3365478481932508,0.3994714951706936,32.34796108572797,-0.8210968085582309,0.035025597346931094,0.31675780359990885
Naive lag-1,Baseline,3,0.30371739087739846,0.3587184226464085,30.033040451794214,-0.7887407898582754,0.004784688995215313,0.2895167895167895
Naive lag-1,Baseline,4,0.2816354425944329,0.33917048479822426,29.85811178429382,-1.0031423559265469,0.004126794258373206,0.2572620575829819
Naive lag-1,Baseline,5,0.2854645909135663,0.36591421973599697,26.712521836813895,-0.7511802591617089,-0.01035012285012286,0.2204633204633205
Seasonal naive lag-7,Baseline,1,0.22628464596799167,0.27934963170614885,22.280739748324258,-0.26937724805473007,0.001838104274635763,0.18414584390641953
Seasonal naive lag-7,Baseline,2,0.2917377636324568,0.3593893832945006,25.393006991000405,-0.47398115169353994,-0.005309592685325617,0.25156926406926405
Seasonal naive lag-7,Baseline,3,0.2913833014441222,0.3466300406262642,27.851257885259624,-0.6702152481610886,-0.01341853022475033,0.27423382703530713
Seasonal naive lag-7,Baseline,4,0.22017603415443698,0.27070010421059243,21.94426722614298,-0.27600552740815143,-0.01729567792629409,0.18411129634039863
Seasonal naive lag-7,Baseline,5,0.22683038472521044,0.2802529911102199,22.011879120070084,-0.02724205752416764,0.020901208998050883,0.20762987012987005
7-day moving average,Baseline,1,0.22162598746338943,0.27132496854939264,23.09794130747743,-0.19749587564786397,0.02239457969874919,0.19563813504039618
7-day moving average,Baseline,2,0.26803255876614546,0.31291473472770653,26.289550122044243,-0.11741236033948566,0.009428965029142311,0.23602973800342242
7-day moving average,Baseline,3,0.22663845021812049,0.2865040924193191,22.35889215252363,-0.14104220311056892,-0.007619301065986015,0.1979273541831188
7-day moving average,Baseline,4,0.19546423671032317,0.2504521884602376,20.94105402539163,-0.09225834533460509,-0.005418353959294722,0.13979018125309967
7-day moving average,Baseline,5,0.22987218166097134,0.2839926654785695,22.727147755712167,-0.05483984662549912,0.004275910416565707,0.19606235359555146
14-day moving average,Baseline,1,0.21771166871382566,0.2645713469444903,22.664600597421646,-0.13862344064916932,0.02668949706288283,0.17507635807696198
14-day moving average,Baseline,2,0.2506056848605675,0.30392137219609705,24.646995357217357,-0.054105127452859225,0.0070699871133055115,0.21363983821967014
14-day moving average,Baseline,3,0.21988285733368168,0.2751267188866977,22.12381977975361,-0.05221765837820791,-0.0015774155821143907,0.1774038348678324
14-day moving average,Baseline,4,0.18834906239740404,0.24138838898212053,19.961852287050412,-0.014631782939042548,-0.012254596228776182,0.15783444354872933
14-day moving average,Baseline,5,0.23015209685475552,0.28271979735110364,23.11733474785242,-0.04540535605960638,0.013767328658042229,0.2029817421061465
