feature,feature_value,partial_dependence
target_is_weekend,0.0,1.1259435191091616
target_is_weekend,1.0,1.0736072811002617
target_dow_cos,-0.9009688679024191,1.126879759007378
target_dow_cos,-0.900968867902419,1.126879759007378
target_dow_cos,-0.2225209339563146,1.1287182513306797
target_dow_cos,-0.2225209339563143,1.1287182513306797
target_dow_cos,0.6234898018587334,1.1196873542605361
target_dow_cos,0.6234898018587336,1.1196873542605361
target_dow_cos,1.0,1.0444756266470203
target_day_of_week_num,1.0,1.1339722423116414
target_day_of_week_num,2.0,1.1384147613469728
target_day_of_week_num,3.0,1.1267280405595317
target_day_of_week_num,4.0,1.1157385310660148
target_day_of_week_num,5.0,1.1143098213209102
target_day_of_week_num,6.0,1.1040002114306715
target_day_of_week_num,7.0,1.0489932343028998
lag7_secondary_trip_capacity_utilization_rate,0.43920000000000003,1.0860747027367954
lag7_secondary_trip_capacity_utilization_rate,0.4676631578947369,1.0860747027367954
lag7_secondary_trip_capacity_utilization_rate,0.4961263157894737,1.0857413567745287
lag7_secondary_trip_capacity_utilization_rate,0.5245894736842105,1.0848939287778758
lag7_secondary_trip_capacity_utilization_rate,0.5530526315789474,1.0851942237741743
lag7_secondary_trip_capacity_utilization_rate,0.5815157894736842,1.0853463193076227
lag7_secondary_trip_capacity_utilization_rate,0.6099789473684211,1.0851790110718214
lag7_secondary_trip_capacity_utilization_rate,0.6384421052631579,1.0826146585478884
lag7_secondary_trip_capacity_utilization_rate,0.6669052631578948,1.0831274340927557
lag7_secondary_trip_capacity_utilization_rate,0.6953684210526316,1.0860560253006617
lag7_secondary_trip_capacity_utilization_rate,0.7238315789473684,1.0855186685516136
lag7_secondary_trip_capacity_utilization_rate,0.7522947368421053,1.0893714390578788
lag7_secondary_trip_capacity_utilization_rate,0.7807578947368421,1.1131975272550088
lag7_secondary_trip_capacity_utilization_rate,0.809221052631579,1.1165468574057653
lag7_secondary_trip_capacity_utilization_rate,0.8376842105263158,1.1178836804055057
lag7_secondary_trip_capacity_utilization_rate,0.8661473684210526,1.1186011552202986
lag7_secondary_trip_capacity_utilization_rate,0.8946105263157895,1.1225776206715439
lag7_secondary_trip_capacity_utilization_rate,0.9230736842105263,1.131566508586678
lag7_secondary_trip_capacity_utilization_rate,0.9515368421052631,1.135647811671002
lag7_secondary_trip_capacity_utilization_rate,0.98,1.1351315746903212
target_week_sin,-0.992708874098054,1.0923386278431741
target_week_sin,-0.8882132031403641,1.0972191252091386
target_week_sin,-0.7837175321826741,1.1125900852859885
target_week_sin,-0.6792218612249843,1.1112623579374452
target_week_sin,-0.5747261902672944,1.1123593532773222
target_week_sin,-0.47023051930960447,1.112530755854261
target_week_sin,-0.3657348483519146,1.1138311599140578
target_week_sin,-0.26123917739422464,1.1141189345682485
target_week_sin,-0.15674350643653479,1.1162911389646435
target_week_sin,-0.05224783547884493,1.1184971062641278
target_week_sin,0.05224783547884504,1.1186562732054761
target_week_sin,0.1567435064365349,1.119589269194213
target_week_sin,0.26123917739422475,1.1202307355921715
target_week_sin,0.3657348483519146,1.1200420791014667
target_week_sin,0.4702305193096047,1.1199699979210282
target_week_sin,0.5747261902672945,1.120232318332629
target_week_sin,0.6792218612249844,1.120360461078238
target_week_sin,0.7837175321826743,1.1199769082780298
target_week_sin,0.8882132031403641,1.1201003447607116
target_week_sin,0.992708874098054,1.1195774056449521
