model_family,specification,n_features,cv_MAE_mean,cv_MAE_sd,cv_RMSE_mean,holdout_MAE,holdout_RMSE,holdout_MAPE,holdout_R2,holdout_MeanBias,holdout_MedianAE
OLS,S1,13,0.4836654134098567,0.34991336751209606,0.5557509689495663,0.22177264213611134,0.2730984884307239,26.89964962631407,-0.0322706223926823,0.12823654023449035,0.18195374715311785
OLS,S2,29,0.7582749723106862,0.600983634650388,0.8969343161644374,0.23530402993101796,0.28879352248053874,28.661224456904442,-0.15432970305494975,0.1498411790355294,0.2055383120632961
OLS,S3,79,0.756417400953732,0.8770828683295241,0.9293270012787687,0.3921342250205578,0.5004026107003158,46.7635739665164,-2.4657250766448002,0.27390574494806846,0.32045128553413593
OLS,S4,105,0.444991137017961,0.1517069287851739,0.549428863156249,0.3628452667619838,0.4826869410004833,42.768706439229796,-2.2246759124317284,0.1891955054394132,0.2834372173989157
OLS,S5,123,1.0046402221638446,0.9283075126816358,1.1960059707750932,0.58243425639044,0.6978429207768946,68.41597490523031,-5.7401619148270235,0.5135647971328995,0.5418218521541557
OLS,S6,127,0.9022490473769974,0.6400166384434801,1.0655800229941712,0.8724561702881564,1.0051592084108825,100.74441712999862,-12.9837833350665,0.8243307281347808,0.8484344811459352
Ridge,S1,13,0.19888680105590256,0.011970332421075407,0.2468556971788373,0.22061741840424934,0.27091870303835613,26.94974289415214,-0.015857873048318316,0.13210366379669752,0.18291065709417698
Ridge,S2,29,0.20835722876973461,0.030678487399414013,0.25773948788649215,0.2366847336981842,0.28792475877584084,29.08345919655371,-0.1473951198738268,0.1602616228149198,0.19903270224263458
Ridge,S3,79,0.2410670756652117,0.06891360602778901,0.2929627748639675,0.2331805298305767,0.2907801881172492,28.439246210761603,-0.1702660373983369,0.14260537114928318,0.18797993214020658
Ridge,S4,105,0.23619966780457657,0.05784248554317045,0.2929682374760027,0.24753731227904935,0.3110126904945867,30.11326338175488,-0.33878610293133127,0.15049941387901186,0.20311082577292472
Ridge,S5,123,0.23982938548122873,0.06975017769537918,0.3014669277819654,0.2800636997177765,0.3466587122152812,34.03519534168873,-0.6632564403994319,0.20192903924288802,0.2495274261693975
Ridge,S6,127,0.24885049364043735,0.07519211498208567,0.3148686930786728,0.29398310959167145,0.364141778583359,35.81868254180896,-0.8352532140127154,0.22349090437362265,0.2702606518340873
LASSO,S1,13,0.19860657789767844,0.010903878558092842,0.24346423481637788,0.2198293058568756,0.27120213089579637,27.006988408893157,-0.017984511228227307,0.13250741004392283,0.18449555319847988
LASSO,S2,29,0.2105224361365361,0.026829797553029913,0.2624404649428548,0.21141807086218425,0.2618505865560954,25.716547837626763,0.05100903597613726,0.1121609037189059,0.1712311554248559
LASSO,S3,79,0.2257930534243746,0.045707887051092355,0.2775090667440752,0.2053939968121836,0.2563307706739126,24.7402756446612,0.09059683447130362,0.0947747436995876,0.18157859148210398
LASSO,S4,105,0.223918122061976,0.04275287612985366,0.27858395940685343,0.20580720451571463,0.25875110261265705,24.672166663522038,0.07334218371386592,0.08566953218518682,0.17367477276018128
LASSO,S5,123,0.21889921826801323,0.04827322597569344,0.2753556424833504,0.20103744582729538,0.2521957827138732,23.709528650607087,0.11970017625111895,0.06958055105238739,0.1811162561237314
LASSO,S6,127,0.2233192574117731,0.04856872067025889,0.2802238817010072,0.20034897286487663,0.2517573974805617,23.588709162803813,0.12275791996538687,0.06730629079383461,0.1776833703008951
Random forest,S1,13,0.19335847371934828,0.016076845153100355,0.23612803701343182,0.22485248271639197,0.27648230215764596,27.267195653994662,-0.0580096992943242,0.13783639508399817,0.18729702152448224
Random forest,S2,29,0.19954470713643918,0.014579560363223963,0.24441234474272755,0.21255935965441522,0.26406743863303894,26.00594669758664,0.03487252097169946,0.12049555502511726,0.1736141335549859
Random forest,S3,79,0.2005057677993431,0.017655751728009685,0.24441146322800936,0.20456851688956762,0.25497141556554187,24.456287653104667,0.10021662351624061,0.07659145802829859,0.17145471794857559
Random forest,S4,105,0.20078919197603423,0.018094051488101014,0.24484997575386477,0.20474800463803974,0.2557727838148405,24.485186617745487,0.0945517456697027,0.07791929933021981,0.17627633538804321
Random forest,S5,123,0.2010303513684531,0.017763647986783763,0.24382196858229346,0.20580942286080536,0.25633559574850834,24.695747750667746,0.0905625976186758,0.08357572159723363,0.17840253526196803
Random forest,S6,127,0.20168749874291575,0.01652096763726694,0.24559708588239135,0.20588847804655375,0.25650982914546094,24.66341827024262,0.08932587340303566,0.08450907368923485,0.1704223848116072
