model,false_negative_to_false_positive_cost_ratio,forecast_alert_cutoff,calibration_days,cost_units,normalized_cost,true_positive_days,false_positive_days,false_negative_days,true_negative_days,precision,recall,f1
Random forest (S2),1.0,1.21,220,63.0,0.2863636363636364,37,19,44,120,0.6607142857142857,0.4567901234567901,0.5401459854014599
Random forest (S2),2.0,1.13,220,96.0,0.43636363636363634,66,66,15,73,0.5,0.8148148148148148,0.6197183098591549
Random forest (S2),5.0,0.97,220,117.0,0.5318181818181819,81,117,0,22,0.4090909090909091,1.0,0.5806451612903226
Random forest (S2),10.0,0.97,220,117.0,0.5318181818181819,81,117,0,22,0.4090909090909091,1.0,0.5806451612903226
XGBoost (S2),1.0,1.31,220,70.0,0.3181818181818182,20,9,61,130,0.6896551724137931,0.24691358024691357,0.36363636363636365
XGBoost (S2),2.0,1.16,220,112.0,0.509090909090909,56,62,25,77,0.4745762711864407,0.691358024691358,0.5628140703517587
XGBoost (S2),5.0,0.87,220,132.0,0.6,80,127,1,12,0.3864734299516908,0.9876543209876543,0.5555555555555556
XGBoost (S2),10.0,0.8,220,133.0,0.6045454545454545,81,133,0,6,0.37850467289719625,1.0,0.5491525423728814
LightGBM (S2),1.0,1.29,220,73.0,0.33181818181818185,19,11,62,128,0.6333333333333333,0.2345679012345679,0.34234234234234234
LightGBM (S2),2.0,1.12,220,106.0,0.4818181818181818,66,76,15,63,0.4647887323943662,0.8148148148148148,0.5919282511210763
LightGBM (S2),5.0,0.85,220,128.0,0.5818181818181818,81,128,0,11,0.3875598086124402,1.0,0.5586206896551725
LightGBM (S2),10.0,0.85,220,128.0,0.5818181818181818,81,128,0,11,0.3875598086124402,1.0,0.5586206896551725
14-day moving average,1.0,1.27,220,79.0,0.35909090909090907,2,0,79,139,1.0,0.024691358024691357,0.048192771084337345
14-day moving average,2.0,1.05,220,128.0,0.5818181818181818,67,100,14,39,0.40119760479041916,0.8271604938271605,0.5403225806451613
14-day moving average,5.0,0.97,220,137.0,0.6227272727272727,80,132,1,7,0.37735849056603776,0.9876543209876543,0.5460750853242322
14-day moving average,10.0,0.6,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
LSTM 28-step (S2),1.0,1.22,220,75.0,0.3409090909090909,8,2,73,137,0.8,0.09876543209876543,0.1758241758241758
LSTM 28-step (S2),2.0,1.06,220,119.0,0.5409090909090909,76,109,5,30,0.41081081081081083,0.9382716049382716,0.5714285714285714
LSTM 28-step (S2),5.0,1.05,220,127.0,0.5772727272727273,79,117,2,22,0.4030612244897959,0.9753086419753086,0.5703971119133574
LSTM 28-step (S2),10.0,1.03,220,127.0,0.5772727272727273,81,127,0,12,0.3894230769230769,1.0,0.5605536332179931
